STATION,DATE,STATE,COUNTY,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT08,WT09,WT10,WT11,WT14,WT16,WT18
USC00081858,5/1/1991,Florida,Broward,,,0,0,0,,87,73,84,,,,,,,,,,
USC00081858,5/2/1991,Florida,Broward,,,0,0,0,,88,70,87,,,,,,,,,,
USC00081858,5/3/1991,Florida,Broward,,,0,0,0,,88,70,84,,,,,,,,,,
USC00081858,5/4/1991,Florida,Broward,,,0,0,0,,88,70,86,,,,,,,,,,
USC00081858,5/5/1991,Florida,Broward,,,0,0,0,,87,81,83,,,,,,,,,,
USC00081858,5/6/1991,Florida,Broward,,,0,0,0,,88,73,85,,,,,,,,,,
USC00081858,5/7/1991,Florida,Broward,,,0,0,0,,87,77,84,,,,,,,,,,
USC00081858,5/8/1991,Florida,Broward,,,0,0,0,,87,76,84,,,,,,,,,,
USC00081858,5/9/1991,Florida,Broward,,,0,0,0,,87,76,85,,,,,,,,,,
USC00081858,5/10/1991,Florida,Broward,,,0,0,0,,86,76,82,,,,,,,,,,
USC00081858,5/11/1991,Florida,Broward,,,0,0,0,,86,71,83,,,,,,,,,,
USC00081858,5/12/1991,Florida,Broward,,,0,0,0,,86,73,84,,,,,,,,,,
USC00081858,5/13/1991,Florida,Broward,,,1.2,0,0,,86,69,73,,1,,,,,,,,
USC00081858,5/14/1991,Florida,Broward,,,0.2,0,0,,87,69,83,,,,,,,,,,
USC00081858,5/15/1991,Florida,Broward,,,0,0,0,,89,70,83,,,,,,,,,,
USC00081858,5/16/1991,Florida,Broward,,,0,0,0,,86,72,83,,,,,,,,,,
USC00081858,5/17/1991,Florida,Broward,,,0.1,0,0,,87,72,75,,1,,,,,,,,
USC00081858,5/18/1991,Florida,Broward,,,0,0,0,,86,72,82,,,,,,,,,,
USC00081858,5/19/1991,Florida,Broward,,,0.58,0,0,,87,72,83,,,,,,,,,,
USC00081858,5/20/1991,Florida,Broward,,,0.4,0,0,,83,74,81,,,,,,,,,,
USC00081858,5/21/1991,Florida,Broward,,,0,0,0,,83,78,82,,,,,,,,,,
USC00081858,5/22/1991,Florida,Broward,,,1.47,0,0,,81,73,77,,,,,,,,,,
USC00081858,5/23/1991,Florida,Broward,,,0.48,0,0,,85,74,81,,1,,,,,,,,
USC00081858,5/24/1991,Florida,Broward,,,0.04,0,0,,86,74,84,,,,,,,,,,
USC00081858,5/25/1991,Florida,Broward,,,0,0,0,,87,77,85,,,,,,,,,,
USC00081858,5/26/1991,Florida,Broward,,,0,0,0,,83,75,82,,,,,,,,,,
USC00081858,5/27/1991,Florida,Broward,,,0.01,0,0,,87,78,83,,,,,,,,,,
USC00081858,5/28/1991,Florida,Broward,,,0,0,0,,89,78,84,,,,,,,,,,
USC00081858,5/29/1991,Florida,Broward,,,0,0,0,,86,72,85,,,,,,,,,,
USC00081858,5/30/1991,Florida,Broward,,,0,0,0,,89,71,87,,,,,,,,,,
USC00081858,5/31/1991,Florida,Broward,,,0,0,0,,93,74,87,,,,,,,,,,
USC00081858,6/1/1991,Florida,Broward,,,0,0,0,,94,74,92,,,,,,,,,,
USC00081858,6/2/1991,Florida,Broward,,,0.1,0,0,,94,83,91,,,,,,,,,,
USC00081858,6/3/1991,Florida,Broward,,,0,0,0,,94,74,92,,,,,,,,,,
USC00081858,6/4/1991,Florida,Broward,,,0.29,0,0,,94,74,83,,,,,,,,,,
USC00081858,6/5/1991,Florida,Broward,,,0.75,0,0,,93,73,74,,1,,,,,,,,
USC00081858,6/6/1991,Florida,Broward,,,0.78,0,0,,89,71,74,,,,,,,,,,
USC00081858,6/7/1991,Florida,Broward,,,0.12,0,0,,89,71,75,,1,,,,,,,,
USC00081858,6/8/1991,Florida,Broward,,,0,0,0,,88,71,80,,,,,,,,,,
USC00081858,6/9/1991,Florida,Broward,,,0.8,0,0,,84,74,80,,1,,,,,,,,
USC00081858,6/10/1991,Florida,Broward,,,0.99,0,0,,84,73,82,,,,,,,,,,
USC00081858,6/11/1991,Florida,Broward,,,0,0,0,,81,71,83,,,,,,,,,,
USC00081858,6/12/1991,Florida,Broward,,,0,0,0,,87,71,86,,,,,,,,,,
USC00081858,6/13/1991,Florida,Broward,,,0,0,0,,88,74,87,,,,,,,,,,
USC00081858,6/14/1991,Florida,Broward,,,0,0,0,,88,74,87,,,,,,,,,,
USC00081858,6/15/1991,Florida,Broward,,,0,0,0,,91,73,88,,,,,,,,,,
USC00081858,6/16/1991,Florida,Broward,,,0,0,0,,95,74,89,,,,,,,,,,
USC00081858,6/17/1991,Florida,Broward,,,1.25,0,0,,91,74,77,,1,,,,,,,,
USC00081858,6/18/1991,Florida,Broward,,,1.69,0,0,,92,74,77,,,,,,,,,,
USC00081858,6/19/1991,Florida,Broward,,,0.45,0,0,,90,74,82,,,,,,,,,,
USC00081858,6/20/1991,Florida,Broward,,,0.3,0,0,,90,74,87,,,,,,,,,,
USC00081858,6/21/1991,Florida,Broward,,,0,0,0,,90,74,87,,1,,,,,,,,
USC00081858,6/22/1991,Florida,Broward,,,0,0,0,,,,,,,,,,,,,,
USC00081858,6/23/1991,Florida,Broward,,,0,0,0,,93,81,81,,1,,,,,,,,
USC00081858,6/24/1991,Florida,Broward,,,0.65,0,0,,89,73,74,,,,,,,,,,
USC00081858,6/25/1991,Florida,Broward,,,1.14,0,0,,91,73,74,,1,,,,,,,,
USC00081858,6/26/1991,Florida,Broward,,,0.5,0,0,,93,72,75,,1,,,,,,,,
USC00081858,6/27/1991,Florida,Broward,,,0,0,0,,94,74,93,,,,,,,,,,
USC00081858,6/28/1991,Florida,Broward,,,0,0,0,,94,78,87,,,,,,,,,,
USC00081858,6/29/1991,Florida,Broward,,,0.25,0,0,,89,74,81,,,,,,,,,,
USC00081858,6/30/1991,Florida,Broward,,,0.65,0,0,,86,74,74,,,,,,,,,,
USC00081858,7/1/1991,Florida,Broward,,,0.77,0,0,,89,74,79,,,,,,,,,,
USC00081858,7/2/1991,Florida,Broward,,,0.2,0,0,,93,76,80,,1,,,,,,,,
USC00081858,7/3/1991,Florida,Broward,,,0.28,0,0,,93,76,82,,,,,,,,,,
USC00081858,7/4/1991,Florida,Broward,,,0.49,0,0,,90,77,88,,,,,,,,,,
USC00081858,7/5/1991,Florida,Broward,,,0,0,0,,91,76,90,,,,,,,,,,
USC00081858,7/6/1991,Florida,Broward,,,0,0,0,,92,75,90,,,,,,,,,,
USC00081858,7/7/1991,Florida,Broward,,,0,0,0,,92,77,91,,,,,,,,,,
USC00081858,7/8/1991,Florida,Broward,,,0.03,0,0,,92,77,87,,,,,,,,,,
USC00081858,7/9/1991,Florida,Broward,,,0,0,0,,95,76,92,,,,,,,,,,
USC00081858,7/10/1991,Florida,Broward,,,0,0,0,,93,78,83,,,,,,,,,,
USC00081858,7/11/1991,Florida,Broward,,,0,0,0,,94,78,83,,1,,,,,,,,
USC00081858,7/12/1991,Florida,Broward,,,1.1,0,0,,94,68,80,,1,,,,,,,,
USC00081858,7/13/1991,Florida,Broward,,,2.2,0,0,,94,72,72,,,,,,,,,,
USC00081858,7/14/1991,Florida,Broward,,,1.95,0,0,,89,72,74,,1,,,,,,,,
USC00081858,7/15/1991,Florida,Broward,,,0.07,0,0,,91,74,86,,1,,,,,,,,
USC00081858,7/16/1991,Florida,Broward,,,0.05,0,0,,91,74,87,,,,,,,,,,
USC00081858,7/17/1991,Florida,Broward,,,0,0,0,,91,74,89,,,,,,,,,,
USC00081858,7/18/1991,Florida,Broward,,,0,0,0,,91,77,89,,,,,,,,,,
USC00081858,7/19/1991,Florida,Broward,,,0.68,0,0,,89,76,86,,,,,,,,,,
USC00081858,7/20/1991,Florida,Broward,,,0,0,0,,90,76,88,,,,,,,,,,
USC00081858,7/21/1991,Florida,Broward,,,0.1,0,0,,89,79,86,,,,,,,,,,
USC00081858,7/22/1991,Florida,Broward,,,0.1,0,0,,91,75,80,,,,,,,,,,
USC00081858,7/23/1991,Florida,Broward,,,0.01,0,0,,90,73,87,,,,,,,,,,
USC00081858,7/24/1991,Florida,Broward,,,0.25,0,0,,92,73,87,,,,,,,,,,
USC00081858,7/25/1991,Florida,Broward,,,0,0,0,,88,75,86,,,,,,,,,,
USC00081858,7/26/1991,Florida,Broward,,,0.01,0,0,,94,75,81,,,,,,,,,,
USC00081858,7/27/1991,Florida,Broward,,,0.01,0,0,,90,74,84,,,,,,,,,,
USC00081858,7/28/1991,Florida,Broward,,,0.05,0,0,,89,74,82,,,,,,,,,,
USC00081858,7/29/1991,Florida,Broward,,,0.07,0,0,,88,76,85,,,,,,,,,,
USC00081858,7/30/1991,Florida,Broward,,,0.37,0,0,,88,73,83,,,,,,,,,,
USC00081858,7/31/1991,Florida,Broward,,,0.23,0,0,,92,74,80,,,,,,,,,,
USC00081858,8/1/1991,Florida,Broward,,,0.25,0,0,,89,76,81,,,,,,,,,,
USC00081858,8/2/1991,Florida,Broward,,,0.02,0,0,,92,75,90,,,,,,,,,,
USC00081858,8/3/1991,Florida,Broward,,,0,0,0,,93,76,89,,,,,,,,,,
USC00081858,8/4/1991,Florida,Broward,,,0,0,0,,93,76,80,,,,,,,,,,
USC00081858,8/5/1991,Florida,Broward,,,1.11,0,0,,94,77,90,,,,,,,,,,
USC00081858,8/6/1991,Florida,Broward,,,0,0,0,,90,75,88,,,,,,,,,,
USC00081858,8/7/1991,Florida,Broward,,,0.4,0,0,,90,76,89,,,,,,,,,,
USC00081858,8/8/1991,Florida,Broward,,,0,0,0,,91,77,90,,,,,,,,,,
USC00081858,8/9/1991,Florida,Broward,,,0,0,0,,93,77,89,,,,,,,,,,
USC00081858,8/10/1991,Florida,Broward,,,0,0,0,,95,75,93,,,,,,,,,,
USC00081858,8/11/1991,Florida,Broward,,,0,0,0,,95,73,83,,,,,,,,,,
USC00081858,8/12/1991,Florida,Broward,,,0.19,0,0,,93,77,90,,,,,,,,,,
USC00081858,8/13/1991,Florida,Broward,,,0,0,0,,93,75,90,,,,,,,,,,
USC00081858,8/14/1991,Florida,Broward,,,0.34,0,0,,92,76,78,,1,,,,,,,,
USC00081858,8/15/1991,Florida,Broward,,,1.83,0,0,,93,74,82,,1,,,,,,,,
USC00081858,8/16/1991,Florida,Broward,,,0,0,0,,94,74,88,,,,,,,,,,
USC00081858,8/17/1991,Florida,Broward,,,0,0,0,,94,81,89,,,,,,,,,,
USC00081858,8/18/1991,Florida,Broward,,,0,0,0,,94,83,89,,,,,,,,,,
USC00081858,8/19/1991,Florida,Broward,,,0,0,0,,94,76,93,,,,,,,,,,
USC00081858,8/20/1991,Florida,Broward,,,0,0,0,,93,79,92,,,,,,,,,,
USC00081858,8/21/1991,Florida,Broward,,,0.76,0,0,,95,78,94,,,,,,,,,,
USC00081858,8/22/1991,Florida,Broward,,,0.29,0,0,,95,74,82,,,,,,,,,,
