STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,EVAP,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WDMV,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT21,WT22,WV03,WV20
USW00023232,1/1/1984,California,Sacramento,60,60,2.24,,,,,,0,0,0,,57,40,,282,,,,,,,0,,,,,,1,1,,,,1,1,,,,,,,,,
USW00023232,1/2/1984,California,Sacramento,90,90,2.91,,,,,,0,0,0,,53,39,,248,140,,,,,,,0,,,,,1,1,,,,,,,,,,,,,,
USW00023232,1/3/1984,California,Sacramento,100,100,2.68,,,,,,0,0,0,,50,43,,0,,,,,135,,,,,,,4.9,1,1,,,,,,,,,,,,,,
USW00023232,1/4/1984,California,Sacramento,100,100,2.68,,,,,,0,0,0,,50,46,,0,,,,,135,,,,,,,6.9,1,,,,,,,,,,,,,,,
USW00023232,1/5/1984,California,Sacramento,100,100,3.58,,,,,,0,0,0,,48,45,,0,,,,,135,,,,,,,6.9,1,,,,,,,,,,,,,,,
USW00023232,1/6/1984,California,Sacramento,100,100,2.01,,,,,,0,0,0,,48,44,,0,,,,,180,,,,,,,4,1,,,,,,,,,,,,,,,
USW00023232,1/7/1984,California,Sacramento,100,100,2.91,,,,,,0,0,0,,48,44,,0,,,,,90,,,,,,,4.9,1,,,,,,,,,,,,,,,
USW00023232,1/8/1984,California,Sacramento,100,100,3.8,,,,,,0,0,0,,48,44,,0,,,,,360,,,,,,,8.1,1,,,,,,1,,,,,,,,,
USW00023232,1/9/1984,California,Sacramento,100,100,3.36,,,,,,0,0,0,,49,46,,0,,,,,315,,,,,,,4.9,1,,,,,,,,,,,,,1,,
USW00023232,1/10/1984,California,Sacramento,100,100,4.92,,,,,,0.02,0,0,,49,44,,20,,,,,360,,,,,,,12.1,1,,,,,,,,,,1,,,,,
USW00023232,1/11/1984,California,Sacramento,30,10,11.41,,,,,,0,0,0,,61,40,,524,,,,,315,,,,,,,21.9,,,,,,,,,,,,,,,,
USW00023232,1/12/1984,California,Sacramento,40,60,3.58,,,,,,0,0,0,,51,38,,418,320,,,,,,,0,,,,,1,1,,,,,1,,,,,,,,,
USW00023232,1/13/1984,California,Sacramento,50,50,4.47,,,,,,0,0,0,,55,36,,320,,,,,315,,,,,,,13,1,1,,,,,,,,,,,,,,
USW00023232,1/14/1984,California,Sacramento,90,80,6.71,,,,,,0,0,0,,49,37,,274,,,,,135,,,,,,,13,1,,,,,,1,,,,,,,,,
USW00023232,1/15/1984,California,Sacramento,100,100,7.61,,,,,,0.07,0,0,,50,40,,203,,,,,315,,,,,,,13,1,,,,,,1,,,1,1,,,,,
USW00023232,1/16/1984,California,Sacramento,50,40,6.93,,,,,,0.05,0,0,,57,40,,375,,,,,315,,,,,,,14.1,1,,,,,,,,,1,1,,,,,
USW00023232,1/17/1984,California,Sacramento,50,70,2.01,,,,,,0,0,0,,50,34,,403,,,,,45,,,,,,,4.9,1,1,,,,,1,,,,,,,,,
USW00023232,1/18/1984,California,Sacramento,80,80,2.68,,,,,,0,0,0,,54,38,,388,,,,,315,,,,,,,8.1,1,1,,,,,1,,,,,,,,,
USW00023232,1/19/1984,California,Sacramento,40,40,2.01,,,,,,0,0,0,,56,38,,502,,,,,315,,,,,,,4.9,1,,,,,,1,,,,,,,,,
USW00023232,1/20/1984,California,Sacramento,80,100,3.13,,,,,,0.01,0,0,,50,33,,362,,,,,225,,,,,,,6.9,1,1,,,,,1,,,,1,,,,,
USW00023232,1/21/1984,California,Sacramento,50,40,8.05,,,,,,0.01,0,0,,58,45,,492,,,,,315,,,,,,,13,,,,,,,1,,,,,,,,,
USW00023232,1/22/1984,California,Sacramento,90,100,6.71,,,,,,0,0,0,,56,40,,252,,,,,315,,,,,,,13,1,1,,,,,,,,,,,,,,
USW00023232,1/23/1984,California,Sacramento,40,50,7.61,,,,,,0,0,0,,64,43,,558,,,,,315,,,,,,,13,1,,,,,,,,,,,,,,,
USW00023232,1/24/1984,California,Sacramento,0,10,2.24,,,,,,0,0,0,,66,40,,550,,,,,135,,,,,,,6,1,,,,,,1,,,1,1,,,,,
USW00023232,1/25/1984,California,Sacramento,10,10,3.58,,,,,,0,0,0,,63,46,,528,,,,,315,,,,,,,8.9,1,,,,,,1,,,,,,,,,
