STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAEV,DAPR,DAWM,EVAP,FMTM,MDEV,MDPR,MDWM,MNPN,MXPN,PGTM,PRCP,PSUN,SN02,SNOW,SNWD,SX02,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDMV,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16
USC00081306,8/1/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/2/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.83,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/3/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/4/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/5/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/6/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/7/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/8/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/9/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.11,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/10/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.04,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/11/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/12/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/13/1997,Florida,Miami Dade,,,,,2,,,,,0.02,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/14/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/15/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/16/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/17/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.03,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/18/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.01,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/19/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/20/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/21/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/22/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.19,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/23/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.58,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/24/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/25/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.08,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/26/1997,Florida,Miami Dade,,,,,,,,,,,,,,,1.37,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/27/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.03,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/28/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/29/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/30/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,8/31/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/1/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/2/1997,Florida,Miami Dade,,,,,2,,,,,0.7,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/3/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.35,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/4/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/5/1997,Florida,Miami Dade,,,,,,,,,,,,,,,1.02,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/6/1997,Florida,Miami Dade,,,,,,,,,,,,,,,2.45,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/7/1997,Florida,Miami Dade,,,,,,,,,,,,,,,2.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/8/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/9/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/10/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/11/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/12/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/13/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/14/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/15/1997,Florida,Miami Dade,,,,,2,,,,,1.17,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/16/1997,Florida,Miami Dade,,,,,,,,,,,,,,,3.97,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/17/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/18/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/19/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.24,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/20/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/21/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/22/1997,Florida,Miami Dade,,,,,2,,,,,0.01,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/23/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.05,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/24/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/25/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.07,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/26/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/27/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.52,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/28/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/29/1997,Florida,Miami Dade,,,,,2,,,,,0.77,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,9/30/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.61,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/1/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.27,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/2/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/3/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/4/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/5/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/6/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.21,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/7/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/8/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/9/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/10/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.07,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/11/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.11,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/12/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/13/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/14/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/15/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.08,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/16/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/17/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/18/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/19/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/20/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/21/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/22/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/23/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/24/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/25/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/26/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/27/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/28/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/29/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/30/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,10/31/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.02,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/1/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/2/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/3/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/4/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/5/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/6/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/7/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.01,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/8/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/9/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/10/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/11/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/12/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/13/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/14/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/15/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.71,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/16/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/17/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/18/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/19/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/20/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/21/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.02,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/22/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/23/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/24/1997,Florida,Miami Dade,,,,,2,,,,,0.08,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/25/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.03,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/26/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/27/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/28/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/29/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,11/30/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.58,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/1/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.32,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/2/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/3/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/4/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/5/1997,Florida,Miami Dade,,,,,,,,,,,,,,,4.56,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/6/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/7/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/8/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/9/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/10/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.01,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/11/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.01,,,0,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
USC00081306,12/12/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/13/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/14/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.93,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/15/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.36,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/16/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/17/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/18/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/19/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/20/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/21/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/22/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.01,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/23/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/24/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/25/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/26/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/27/1997,Florida,Miami Dade,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/28/1997,Florida,Miami Dade,,,,,4,,,,,0.62,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/29/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.41,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/30/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0.01,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,12/31/1997,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/1/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/2/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/3/1998,Florida,Miami Dade,,,,,,,,,,,,,,,4.22,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/4/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/5/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/6/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/7/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/8/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/9/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/10/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00081306,2/11/1998,Florida,Miami Dade,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
