STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAEV,DAPR,DAWM,EVAP,FMTM,MDEV,MDPR,MDWM,MNPN,MXPN,PGTM,PRCP,PSUN,SN02,SNOW,SNWD,SX02,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDFG,WDMV,WESD,WSF1,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT14,WT16
USC00087020,6/1/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,76,0,0,88,,88,72,84,,,,,,,,,,,,,,,,,,,,
USC00087020,6/2/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,77,0,0,88,,88,69,84,,,,,,,,,,,,,,,,,,,,
USC00087020,6/3/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,79,0,0,88,,90,71,82,,,,,,,,,,,,,,,,,,,,
USC00087020,6/4/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,77,0,0,89,,90,71,85,,,,,,,,,,,,,,,,,,,,
USC00087020,6/5/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,78,0,0,86,,88,67,80,,,,,,,,,,,,,,,,,,,,
USC00087020,6/6/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,77,0,0,87,,92,70,85,,,,,,,,,,,,,,,,,,,,
USC00087020,6/7/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.46,,77,0,0,82,,90,70,85,,,,,,,,,,,,,,,,,,,,
USC00087020,6/8/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,75,0,0,87,,91,73,86,,,,,,,,,,,,,,,,,,,,
USC00087020,6/9/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,77,0,0,89,,90,76,87,,,,,,,,,,,,,,,,,,,,
USC00087020,6/10/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,78,0,0,89,,89,73,87,,,,,,,,,,,,,,,,,,,,
USC00087020,6/11/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,78,0,0,90,,90,72,87,,,,,,,,,,,,,,,,,,,,
USC00087020,6/12/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,79,0,0,90,,91,74,88,,,,,,,,,,,,,,,,,,,,
USC00087020,6/13/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,79,0,0,91,,89,70,85,,,,,,,,,,,,,,,,,,,,
USC00087020,6/14/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,80,0,0,91,,91,71,87,,,,,,,,,,,,,,,,,,,,
USC00087020,6/15/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,81,0,0,91,,91,76,88,,,,,,,,,,,,,,,,,,,,
USC00087020,6/16/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,81,0,0,91,,89,78,86,,,,,,,,,,,,,,,,,,,,
USC00087020,6/17/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.03,,81,0,0,92,,90,73,85,,,,,,,,,,,,,,,,,,,,
USC00087020,6/18/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,80,0,0,91,,90,73,84,,,,,,,,,,1,,,,,,,,,,
USC00087020,6/19/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.16,,79,0,0,87,,89,70,78,,,,,,,,,,,,,,,,,,,,
USC00087020,6/20/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,77,0,0,86,,91,69,78,,,,,,,,,,,,,,,,,,,,
USC00087020,6/21/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,76,0,0,82,,86,69,83,,,,,,,,,,1,,,,,,,,,,
USC00087020,6/22/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.91,,75,0,0,79,,86,70,82,,,,,,,,,,,,,,,,,,,,
USC00087020,6/23/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.21,,73,0,0,81,,88,70,82,,,,,,,,,,,,,,,,,,,,
USC00087020,6/24/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.1,,74,0,0,77,,84,72,77,,,,,,,,,,,,,,,,,,,,
USC00087020,6/25/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,72,0,0,79,,86,70,85,,,,,,,,,,,,,,,,,,,,
USC00087020,6/26/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.31,,73,0,0,77,,92,71,73,,,,,,,,,,1,,,,,,,,,,
USC00087020,6/27/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.01,,72,0,0,78,,87,69,84,,,,,,,,,,,,,,,,,,,,
USC00087020,6/28/1989,Florida,Miami Dade,,,,,,,,,,,,,,,1.29,,71,0,0,77,,89,69,75,,,,,,,,,,1,,,,,,,,,,
USC00087020,6/29/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,71,0,0,77,,89,69,82,,,,,,,,,,,,,,,,,,,,
USC00087020,6/30/1989,Florida,Miami Dade,,,,,,,,,,,,,,,1.91,,69,0,0,79,,91,69,71,,,,,,,,,,1,,,,,,,,,,
USC00087020,7/1/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.13,,69,0,0,76,,87,69,74,,,,,,,,,,,,,,,,,,,,
USC00087020,7/2/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.12,,70,0,0,76,,86,69,80,,,,,,,,,,,,,,,,,,,,
USC00087020,7/3/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.89,,70,0,0,74,,87,71,78,,,,,,,,,,,,,,,,,,,,
USC00087020,7/4/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.6,,70,0,0,77,,91,72,74,,,,,,,,,,,,,,,,,,,,
USC00087020,7/5/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.08,,70,0,0,77,,86,70,74,,,,,,,,,,,,,,,,,,,,
USC00087020,7/6/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.14,,70,0,0,80,,88,69,86,,,,,,,,,,,,,,,,,,,,
USC00087020,7/7/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.12,,72,0,0,82,,87,73,84,,,,,,,,,,,,,,,,,,,,
USC00087020,7/8/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0.13,,72,0,0,85,,88,70,85,,,,,,,,,,,,,,,,,,,,
USC00087020,7/9/1989,Florida,Miami Dade,,,,,,,,,,,,,,,0,,73,0,0,86,,89,71,86,,,,,,,,,,,,,,,,,,,,
