STATION,DATE,STATE,COUNTY,DAPR,MDPR,PRCP,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT11
US1NYKN0003,11/18/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,11/19/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,11/20/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,11/21/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,11/22/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,11/23/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,11/24/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,11/25/2008,New York,Kings,,,0.42,,,,,,,,,,
US1NYKN0003,11/26/2008,New York,Kings,,,0.17,,,,,,,,,,
US1NYKN0003,11/28/2008,New York,Kings,2,0,,,,,0,,,,,,
US1NYKN0003,11/29/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,11/30/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,12/1/2008,New York,Kings,,,0.82,,,,,,,,,,
US1NYKN0003,12/2/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,12/3/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,12/4/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,12/5/2008,New York,Kings,,,0.03,,,,,,,,,,
US1NYKN0003,12/6/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,12/7/2008,New York,Kings,,,0.03,,,,,0,,,,,
US1NYKN0003,12/8/2008,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,12/9/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/10/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/11/2008,New York,Kings,,,0.35,,,,,0,,,,,
US1NYKN0003,12/12/2008,New York,Kings,,,3.02,,,,,0,,,,,
US1NYKN0003,12/13/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/14/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/15/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/16/2008,New York,Kings,,,0.04,,,,,0,,,,,
US1NYKN0003,12/17/2008,New York,Kings,,,0.64,,,,,0,,,,,
US1NYKN0003,12/18/2008,New York,Kings,,,0.01,,,,,0,,,,,
US1NYKN0003,12/19/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/20/2008,New York,Kings,,,0.96,,,,,0,,,,,
US1NYKN0003,12/21/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/22/2008,New York,Kings,,,0.86,,,,,0,,,,,
US1NYKN0003,12/23/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/24/2008,New York,Kings,,,0.06,,,,,0,,,,,
US1NYKN0003,12/26/2008,New York,Kings,2,0.51,,,,,0,,,,,,
US1NYKN0003,12/27/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/28/2008,New York,Kings,,,0.03,,,,,0,,,,,
US1NYKN0003,12/29/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/30/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,12/31/2008,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/1/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/2/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/4/2009,New York,Kings,2,0,,,,,0,,,,,,
US1NYKN0003,1/5/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/6/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/7/2009,New York,Kings,,,0.73,,,,,0,,,,,
US1NYKN0003,1/8/2009,New York,Kings,,,0.92,,,,,0,,,,,
US1NYKN0003,1/12/2009,New York,Kings,4,0.23,,,,,0,,,,,,
US1NYKN0003,1/13/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/14/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/15/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/16/2009,New York,Kings,,,0.03,,,,,0,,,,,
US1NYKN0003,1/17/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/18/2009,New York,Kings,,,0.04,,,,,0,,,,,
US1NYKN0003,1/19/2009,New York,Kings,,,0.13,,,,,0.1,,,,,
US1NYKN0003,1/20/2009,New York,Kings,,,0.06,,,,,0.1,,,,,
US1NYKN0003,1/21/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/25/2009,New York,Kings,4,0,,,,,0,,,,,,
US1NYKN0003,1/26/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/27/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/28/2009,New York,Kings,,,0.21,,,,,0.2,,,,,
US1NYKN0003,1/29/2009,New York,Kings,,,0.92,,,,,0,,,,,
US1NYKN0003,1/30/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,1/31/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/1/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/2/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/3/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/4/2009,New York,Kings,,,0.31,,,,,0.3,,,,,
US1NYKN0003,2/5/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/6/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/7/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/9/2009,New York,Kings,2,0,,,,,0,,,,,,
US1NYKN0003,2/10/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/11/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/12/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/13/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/14/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/15/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/16/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/17/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/18/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/19/2009,New York,Kings,,,0.25,,,,,0,,,,,
US1NYKN0003,2/20/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/21/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/22/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/23/2009,New York,Kings,,,0.09,,,,,0,,,,,
US1NYKN0003,2/24/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/26/2009,New York,Kings,2,0,,,,,0,,,,,,
US1NYKN0003,2/27/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,2/28/2009,New York,Kings,,,0.02,,,,,0,,,,,
US1NYKN0003,3/1/2009,New York,Kings,,,0.02,,,,,0,,,,,
US1NYKN0003,3/2/2009,New York,Kings,,,0.82,,,,,0.8,,,,,
US1NYKN0003,3/3/2009,New York,Kings,,,0.32,,,,,0.3,,,,,
US1NYKN0003,3/4/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,3/5/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/6/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/7/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/8/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,3/9/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,3/10/2009,New York,Kings,,,0.09,,,,,0,,,,,
US1NYKN0003,3/11/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,3/12/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,3/13/2009,New York,Kings,,,0,,,,,0,,,,,
US1NYKN0003,3/14/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/15/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/17/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/19/2009,New York,Kings,2,0,,,,,0,,,,,,
US1NYKN0003,3/20/2009,New York,Kings,,,0.13,,,,,0,,,,,
US1NYKN0003,3/21/2009,New York,Kings,,,0.05,,,,,0.1,,,,,
US1NYKN0003,3/22/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/23/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/24/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/25/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/26/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,3/27/2009,New York,Kings,,,0.47,,,,,,,,,,
US1NYKN0003,3/28/2009,New York,Kings,,,0.13,,,,,,,,,,
US1NYKN0003,3/29/2009,New York,Kings,,,0.24,,,,,,,,,,
US1NYKN0003,3/30/2009,New York,Kings,,,0.13,,,,,,,,,,
US1NYKN0003,3/31/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/1/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/2/2009,New York,Kings,,,0.18,,,,,,,,,,
US1NYKN0003,4/3/2009,New York,Kings,,,0.14,,,,,,,,,,
US1NYKN0003,4/4/2009,New York,Kings,,,0.63,,,,,,,,,,
US1NYKN0003,4/5/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/6/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/7/2009,New York,Kings,,,0.79,,,,,,,,,,
US1NYKN0003,4/8/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/9/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/10/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/12/2009,New York,Kings,2,0.9,,,,,,,,,,,
US1NYKN0003,4/13/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/14/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/15/2009,New York,Kings,,,0.45,,,,,,,,,,
US1NYKN0003,4/16/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/17/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/18/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/19/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/20/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/21/2009,New York,Kings,,,1.9,,,,,,,,,,
US1NYKN0003,4/22/2009,New York,Kings,,,0.14,,,,,,,,,,
US1NYKN0003,4/23/2009,New York,Kings,,,0.12,,,,,,,,,,
US1NYKN0003,4/24/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/25/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/26/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/27/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/28/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,4/29/2009,New York,Kings,,,0.03,,,,,,,,,,
US1NYKN0003,4/30/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,5/1/2009,New York,Kings,,,0,,,,,,,,,,
US1NYKN0003,5/2/2009,New York,Kings,,,0.39,,,,,,,,,,
US1NYKN0003,5/3/2009,New York,Kings,,,0.03,,,,,,,,,,
US1NYKN0003,5/4/2009,New York,Kings,,,0.56,,,,,,,,,,
US1NYKN0003,5/5/2009,New York,Kings,,,0.3,,,,,,,,,,
US1NYKN0003,5/6/2009,New York,Kings,,,0.53,,,,,,,,,,
US1NYKN0003,5/7/2009,New York,Kings,,,1.23,,,,,,,,,,
US1NYKN0003,5/8/2009,New York,Kings,,,0.22,,,,,,,,,,
US1NYKN0003,5/9/2009,New York,Kings,,,0.23,,,,,,,,,,
