STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,FMTM,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USC00470273,1/1/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,34,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/2/1992,Wisconsin,Dane,,,,,,,,,0.1,,,,33,27,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/3/1992,Wisconsin,Dane,,,,,,,,,0.1,0.2,0,,36,31,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/4/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,37,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/5/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,34,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/6/1992,Wisconsin,Dane,,,,,,,,,0.18,0,0,,35,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/7/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,35,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/8/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,34,30,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/9/1992,Wisconsin,Dane,,,,,,,,,0.26,0,0,,38,33,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/10/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,35,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/11/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,25,15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/12/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,47,23,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/13/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,39,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/14/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,32,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/15/1992,Wisconsin,Dane,,,,,,,,,0.04,0.2,1,,22,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/16/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,10,-10,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/17/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,29,-4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,1/18/1992,Wisconsin,Dane,,,,,,,,,0,0,1,,22,-5,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
